side,entry_time,exit_time,entry_price,exit_price,gross_ret,fee_ret,net_ret,pnl,reason,capital_before,capital_after,position_notional,fee_usd,slippage_usd,window_id
short,2025-11-28 16:00:00+00:00,2025-11-28 19:00:00+00:00,3027.86,3042.9993,-0.00497512437810943,-0.0013925472636816538,-0.006367671641791084,-69.5908870560902,SL,10928.780717800302,10859.189830744212,10928.780717800302,15.21884368394963,0.0,17
short,2025-12-18 17:00:00+00:00,2025-12-18 21:00:00+00:00,2822.01,2821.33,0.00024102107871115663,-0.001399847311409963,-0.0011588262326988064,-12.583914041722503,TRAIL_RSI,10859.189830744212,10846.605916702489,10859.189830744212,15.201207688657696,0.0,18
short,2026-01-22 05:00:00+00:00,2026-01-22 15:00:00+00:00,3015.74,2910.1890999999996,0.0362694300518136,-0.001450269430051776,0.034819160621761824,377.6697136146161,TP,10846.605916702489,11224.275630317105,10846.605916702489,15.730500980812339,0.0,21
short,2026-01-26 14:00:00+00:00,2026-01-26 14:30:00+00:00,2885.47,2914.3246999999997,-0.00990099009900991,-0.0013856534653465813,-0.011286643564356491,-126.68439830748194,SL,11224.275630317105,11097.591232009623,11224.275630317105,15.552956423154079,0.0,21
short,2026-01-26 15:30:00+00:00,2026-01-26 18:30:00+00:00,2898.12,2927.1012,-0.00990099009900991,-0.0013856534653465813,-0.011286643564356491,-125.25455665862043,SL,11097.591232009623,10972.336675351004,11097.591232009623,15.37741574763397,0.0,21
short,2026-02-02 18:00:00+00:00,2026-02-02 23:30:00+00:00,2334.89,2345.55,-0.00454477627848493,-0.0013931495401505734,-0.005937925818635503,-65.15292123532797,FORCE_EXIT_END,10972.336675351004,10907.183754115676,10972.336675351004,15.286105793642522,0.0,21
short,2026-02-03 01:00:00+00:00,2026-02-03 03:00:00+00:00,2350.01,2313.56,0.015754940438112763,-0.0014215591966926233,0.01433338124142014,156.33682301796415,TRAIL_RSI,10907.183754115676,11063.52057713364,10907.183754115676,15.505207375679513,0.0,22
short,2026-02-12 12:30:00+00:00,2026-02-12 16:00:00+00:00,1979.84,1910.5456,0.03626943005181338,-0.001450269430051776,0.0348191606217616,385.22250001738087,TP,11063.52057713364,11448.74307715102,11063.52057713364,16.045085681765702,0.0,22
short,2026-02-24 23:30:00+00:00,2026-02-25 01:00:00+00:00,1851.09,1869.6009,-0.00990099009900991,-0.0013856534653465813,-0.011286643564356491,-129.2178823716975,SL,11448.74307715102,11319.525194779324,11448.74307715102,15.863990518716994,0.0,23
long,2026-02-27 01:30:00+00:00,2026-02-27 04:30:00+00:00,2020.73,2041.8,0.01042692492317121,-0.001414102585699295,0.009012822337471915,102.02086952508323,TRAIL_RSI,11319.525194779324,11421.546064304408,11319.525194779324,16.006969846825758,0.0,23
long,2026-03-06 01:30:00+00:00,2026-03-06 05:00:00+00:00,2086.7,2065.8329999999996,-0.01000000000000012,-0.001385514900000051,-0.011385514900000171,-130.04018289617613,SL,11421.546064304408,11291.505881408231,11421.546064304408,15.824722253130698,0.0,24
long,2026-03-14 03:00:00+00:00,2026-03-14 07:30:00+00:00,2097.56,2076.5843999999997,-0.01000000000000012,-0.001385514900000051,-0.011385514900000171,-128.55960845621297,SL,11291.505881408231,11162.946272952018,11291.505881408231,15.644549642129315,0.0,24
